uri,notation,label_en,label_sv
https://id.kb.se/term/uka/604,,Arts,Konst
https://id.kb.se/term/uka/60401,,Visual Arts,Bildkonst
https://id.kb.se/term/uka/60402,,Music,Musik
https://id.kb.se/term/uka/60403,,Literary Composition,Litterär gestaltning
https://id.kb.se/term/uka/60404,,Performing Arts,Scenkonst
https://id.kb.se/term/uka/60405,,Architecture,Arkitektur
https://id.kb.se/term/uka/60406,,Design,Design
https://id.kb.se/term/uka/60407,,Art History,Konstvetenskap
https://id.kb.se/term/uka/60408,,Musicology,Musikvetenskap
https://id.kb.se/term/uka/60409,,Performing Art Studies,Teatervetenskap
https://id.kb.se/term/uka/60410,,Studies on Film,Filmvetenskap
https://id.kb.se/term/uka/605,,Other Humanities,Annan humaniora
https://id.kb.se/term/uka/60501,,Classical Archaeology and Ancient History,Antikvetenskap
https://id.kb.se/term/uka/60502,,Cultural Studies,Kulturstudier
https://id.kb.se/term/uka/60503,,Ethnology,Etnologi
https://id.kb.se/term/uka/60599,,Other Humanities not elsewhere specified,Övrig annan humaniora
