"level1","level2","level3","sv","en"
,,,"farmakologi","Pharmacology"
,,,"livsmedelssäkerhet","Food Safety"
,,40303,"Klinisk vetenskap","Clinical Science"
,,,"Här ingår:","Including:"
,,,"anestesiologi","Anaesthesiology"
,,,"komparativ medicin","Comparative Medicine"
,,,"diagnostik","Diagnostics"
,,,"djuromvårdnad","Veterinary Nursing"
,,,"epidemiologi","Epidemiology"
,,,"kirurgi","Surgery"
,,,"medicin","Medicine"
,,,"reproduktion","Reproduction"
,,40399,"Annan veterinärmedicin","Other Veterinary Science"
,404,,"Bioteknologi med applikationer på växter och djur","Agricultural Biotechnology"
,,40401,"Växtbioteknologi","Plant Biotechnology"
,,,"Här ingår:","Including:"
,,,"skogsbioteknologi","Forest Biotechnology"
,,40402,"Genetik och förädling inom lantbruksvetenskap","Genetics and Breeding in Agricultural Sciences"
,,,"Här ingår:","Including:"
,,,"mikroorganismer","Microorganisms"
,,,"svampar","Fungi"
,,,"reproduktionsbioteknologi","Reproductive Biotechnology"
,,,"cell-linjer och organoider","Cell lines and Organoids"
,405,,"Annan lantbruksvetenskap ","Other Agricultural Sciences"
,,40502,"Vilt- och fiskeförvaltning","Fish and Wildlife Management "
,,,"Här ingår:","Including:"
,,,"jakt","Hunting"
,,,"fisk och fiskeri","Fishing and Fisheries"
,,,"vilt- och fiskpopulationsekologi","Game and Fishpopulation Ecology"
,,40504,"Miljö- och naturvårdsvetenskap ","Environmental Sciences and Nature Conservation"
,,,"Här ingår:","Including:"
,,,"biodiversitet","Biodiversity"
,,40505,"Landskapsarkitektur "," Landscape Architecture"
,,,"Här ingår:","Including:"
,,,"planering","Planning"
,,,"design","Design"
,,,"vård","Management"
,,40506,"Jordbruksekonomi och landsbygdsutveckling","Agricultural Economics and Management and Rural development"
,,40507,"Miljöekonomi och förvaltning","Environmental Economics and Management"
,,40599,"Övrig annan lantbruksvetenskap","Other Agricultural Sciences not elsewhere specified"
5,,,"Samhällsvetenskap","Social Sciences"
,501,,"Psykologi","Psychology"
,,50101,"Psykologi  (Exklusive tillämpad psykologi)","Psychology (Excluding Applied Psychology)"
,,50102,"Tillämpad psykologi ","Applied Psychology"
,,,"Här ingår:","Including:"
,,,"klinisk psykologi","Clinical Psychology"
,,,"psykoterapi","Psychotherapy"
,502,,"Ekonomi och näringsliv","Economics and Business"
,,50201,"Nationalekonomi ","Economics"
,,50202,"Företagsekonomi","Business Administration"
,,50203,"Ekonomisk historia","Economic History"
,503,,"Utbildningsvetenskap","Educational Sciences"
,,50301,"Pedagogik","Pedagogy"
,,,"Här ingår:","Including:"
,,,"special- och andra inriktningar av pedagogik","Special Needs- and other orientations of Pedagogy"
,,50302,"Didaktik ","Didactics"
,,,"Här ingår:","Including:"
,,,"allmän- och  ämnesdidaktik","General and Subject Didactics"
,,50304,"Pedagogiskt arbete","Educational Work "
,,50399,"Annan utbildningsvetenskaplig forskning ","Other Educational Sciences"
,504,,"Sociologi","Sociology"
,,50401,"Sociologi (Exklusive socialt arbete, socialantropologi, demografi och kriminologi)","Sociology (Excluding Social Work, Social Anthropology, Demography and Criminology)"
,,50402,"Socialt arbete","Social Work"
,,50404,"Socialantropologi","Social Anthropology"
,,50405,"Demografi","Demography"
,,50406,"Kriminologi","Criminology"
,505,,"Juridik","Law"
,,50501,"Juridik","Law"
,,50503,"Annan rättsvetenskaplig forskning","Other Legal Research"
,506,,"Statsvetenskap","Political Science"
,,50601,"Statsvetenskap (Exklusive freds- och konfliktforskning)","Political Science (Excluding Peace and Conflict Studies)"
,,50604,"Freds- och konfliktforskning","Peace and Conflict Studies"
,507,,"Social och ekonomisk geografi","Social and Economic Geography"
,,50701,"Kulturgeografi","Human Geography"
,,50702,"Ekonomisk geografi
","Economic Geography "
,,50703,"Andra geografiska studier","Other Geographic Studies"
,,,"Här ingår:","Including:"
,,,"turism-, urban-, rurala och globala studier","Tourism, Urban, Rural, and Global Studies"
,508,,"Medie-, kommunikations-, och informationsvetenskaper","Media and Communications"
,,50801,"Medie- och kommunikationsvetenskap","Media and Communication Studies"
,,50804,"Systemvetenskap, informationssystem och informatik med samhällsvetenskaplig inriktning","Information Systems, Social aspects"
,,,"Här ingår:","Including:"
,,,"Mänsklig interaktion med IKT","Human Aspects of ICT"
,,50805,"Biblioteks-och informationsvetenskap","Information Studies"
,509,,"Annan samhällsvetenskap","Other Social Sciences"
,,50902,"Genusstudier","Gender Studies"
,,50903,"Arbetslivsstudier","Work Sciences"
,,50904,"Internationell migration och etniska relationer (IMER)","International Migration and Ethnic Relations"
,,50905,"Studier av offentlig förvaltning","Public Administration Studies"
,,50906,"Utvecklingsstudier","Development Studies"
,,50907,"Statistik inom samhällsvetenskap ","Statistics in Social Sciences"
,,50908,"Samhällsvetenskapliga hälso- och koststudier","Health and Diet Studies in Social Sciences"
,,50909,"Miljövetenskapliga studier inom samhällsvetenskap","Environmental Studies in Social Sciences"
,,50910,"Barn- och ungdomsvetenskap","Child and Youth Studies"
,,50911,"Krigs-, kris-, säkerhetsvetenskaper","War, Crisis, and Security Studies"
,,50912,"Teknik och samhälle","Science and Technology Studies"
,,50999,"Övrig annan samhällsvetenskap","Other Social Sciences not elsewhere specified"
6,,,"Humaniora och konst","Humanities and the Arts"
,601,,"Historia och arkeologi ","History and Archaeology "
,,60101,"Historia","History"
,,60102,"Teknik- och miljöhistoria","Technology and Environmental History"
,,60103,"Arkeologi","Archaeology"
,,60104,"Idé- och lärdomshistoria","History of Science and Ideas"
,,60105,"Antikvetenskap","Classical Archaeology and Ancient History"
,602,,"Språk och litteratur","Languages and Literature "
,,60201,"Jämförande språkvetenskap och allmän lingvistik","Comparative Language Studies and Linguistics"
,,60202,"Studier av enskilda språk","Studies of Specific Languages"
,,60203,"Litteraturvetenskap","General Literary studies"
,,,"Här ingår:","Including:"
,,,"litteraturteori","Literary Theory"
,,60204,"Litteraturstudier","Studies of Specific Literatures"
,,,"Här ingår:","Including:"
,,,"Litteraturer från särskilda språkområden","Literature from specific Language areas"
,,60205,"Filologi","Philology"
,,60206,"Översättningsvetenskap","Translation Studies"
,,60207,"Retorik","Rhetoric"
,603,,"Filosofi, etik och religion","Philosophy, Ethics and Religion"
,,60301,"Filosofi","Philosophy"
,,60302,"Etik","Ethics"
,,60303,"Religionsvetenskap","Religious Studies "
,,,"Här ingår:","Including:"
,,,"religionsbeteendevetenskap","Social Sciences of Religions"
,,,"tros- och livsåskådningsvetenskap/systematisk teologi","Studies in Faiths and Ideologies/Systematic Theology"
,,,"bibelvetenskap","Biblical Studies"
,,,"kyrkovetenskap","Ecclesiology/ Practical Theology"
,,,"kyrkohistoria","Church History"
,,60304,"Religionshistoria","History of Religions"
,,60306,"Estetik","Aesthetics"
,604,,"Konst","Arts"
,,,"Konst - vetenskaplig grund","Scientific Basis"
,,60407,"Konstvetenskap","Art History"
,,,"Här ingår:","Including:"
,,,"Textil-  och modevetenskap","Textile and Fashion Design Studies"
,,60408,"Musikvetenskap","Musicology"
,,60409,"Teatervetenskap","Performing Art Studies"
,,60410,"Filmvetenskap","Film Studies"
,,,"Konst - konstnärlig grund","Artistic Basis"
,,60411,"Fri Konst","Visual Arts  "
,,60412,"Musik","Music"
,,60413,"Litterär gestaltning ","Literary Composition "
,,60414,"Scenkonst","Performing Arts"
,,60415,"Arkitektur","Architecture"
,,60416,"Design","Design"
,,60417,"Film","Film"
,,60418,"Konsthantverk","Crafts"
,,60419,"Fotografi","Photography"
,605,,"Annan humaniora och konst","Other Humanities "
